period,revenue,accounts_receivable,ar_0_30,ar_31_60,ar_61_90,ar_90_plus,cogs,inventory,accounts_payable,supplier_concentration_pct,operating_cash_flow,net_income,non_core_expenses
2025-01,12045310.7961406,1578082.19,710136.9855,394520.5475,284054.7942,189369.8628,7829452.01749142,1175342.47,1560000,62,800000,950000,117490.802376947
2025-02,12114066.3774439,1704328.7652,766947.94434,426082.1913,306779.177736,204519.451824,7874143.14533851,1274071.23748,1579500,62,690000,930000,129014.286128198
2025-03,12413429.9626755,1840675.066416,828303.7798872,460168.766604,331321.51195488,220881.00796992,8068729.47573909,1381093.22142832,1599000,62,580000,910000,124639.878836228
2025-04,12563103.4100115,1987929.07172928,894568.082278176,496982.26793232,357827.23291127,238551.488607514,8166017.21650744,1497105.0520283,1618500,62,470000,890000,121973.169683941
2025-05,12592198.4989324,2146963.39746762,966133.52886043,536740.849366906,386453.411544172,257635.607696115,8184929.02430606,1622861.87639868,1638000,62,360000,870000,113120.372808849
2025-06,12679199.1636149,2318720.46926503,1043424.21116926,579680.117316258,417369.684467706,278246.456311804,8241479.45634967,1759182.27401617,1657500,62,250000,850000,113119.890406724
2025-07,12856081.5707228,2504218.10680624,1126898.14806281,626054.526701559,450759.259225122,300506.172816748,8356453.0209698,1906953.58503352,1677000,62,140000,830000,111161.672243364
2025-08,13050924.5485474,2704555.55535073,1217049.99990783,676138.888837684,486819.999963132,324546.666642088,8483100.95655584,2067137.68617634,1696500,62,30000,810000,127323.522915499
2025-09,13196069.6597097,2920919.99977879,1314413.99990046,730229.999944698,525765.599960183,350510.399973455,8577445.27881131,2240777.25181515,1716000,62,-80000,790000,122022.300234864
2025-10,13305877.5147848,3154593.5997611,1419567.11989249,788648.399940274,567826.847956997,378551.231971332,8648820.3846101,2429002.54096762,1735500,62,-190000,770000,470000
2025-11,13520651.6867672,3406961.08774199,1533132.48948389,851740.271935496,613252.995793557,408835.330529038,8788423.59639865,2633038.75440891,1755000,62,-300000,750000,470000
2025-12,13622081.8020248,3679517.97476134,1655783.08864261,919879.493690336,662313.235457042,441542.156971361,8854353.17131612,2854214.00977925,1774500,62,-410000,730000,470000
