period,revenue,accounts_receivable,ar_0_30,ar_31_60,ar_61_90,ar_90_plus,cogs,inventory,accounts_payable,supplier_concentration_pct,operating_cash_flow,net_income,non_core_expenses
2025-01,8583435.37673356,920000,478400,220800,128800,92000,4921138.66948162,825000,1183200,48,620000,710000,94843.9627784944
2025-02,8743746.71168729,1007400,523848,241776,141036,100740,5050734.29029581,911625,1214520,49.2,535000,695000,99323.5206536984
2025-03,8973972.21988033,1103103,573613.56,264744.72,154434.42,110310.3,5158094.27152414,1007345.625,1245840,50.4,450000,680000,99563.1405249072
2025-04,9136899.88235487,1207897.785,628106.8482,289895.4684,169105.6899,120789.7785,5280248.64440241,1113116.915625,1277160,51.6,365000,665000,86467.4826597308
2025-05,9357907.58220289,1322648.074575,687776.998779,317435.537898,185170.7304405,132264.8074575,5477723.50908481,1229994.19176562,1308480,52.8,280000,650000,88611.1737367177
2025-06,9602100.9982663,1448299.64165962,753115.813663005,347591.91399831,202761.949832348,144829.964165963,5543248.5235733,1359143.58190102,1339800,54,195000,635000,98029.6298037069
2025-07,9834112.08328634,1585888.10761729,824661.81596099,380613.145828149,222024.335066421,158588.810761729,5668379.02465012,1501853.65800062,1371120,55.2,110000,620000,93211.7940167877
2025-08,10147498.5863276,1736547.47784093,903004.688477285,416771.394681824,243116.64689773,173654.747784093,5877654.24785623,1659548.29209069,1402440,56.4,25000,605000,95787.2994689314
2025-09,10222837.5104614,1901519.48823582,988790.133882626,456364.677176597,266212.728353015,190151.948823582,5956726.83604565,1833800.86276021,1433760,57.6,-60000,590000,280000
2025-10,10477224.001261,2082163.83961822,1082725.19660148,499719.321508373,291502.937546551,208216.383961822,6086017.4292078,2026349.95335003,1465080,58.8,-145000,575000,355000
2025-11,10835393.5563013,2279969.40438195,1185584.09027862,547192.657051669,319195.716613474,227996.940438195,6239319.73663548,2239116.69845178,1496400,60,-230000,560000,310000
2025-12,10841312.982908,2496566.49779824,1298214.57885508,599175.959471578,349519.309691754,249656.649779824,6326580.89974595,2474223.95178922,1527720,61.2,-315000,545000,425000
