period,revenue,accounts_receivable,ar_0_30,ar_31_60,ar_61_90,ar_90_plus,cogs,inventory,accounts_payable,supplier_concentration_pct,operating_cash_flow,net_income,non_core_expenses
2025-01,15000000,1479452.0547945206,1109589.0410958906,266301.3698630137,73972.60273972603,29589.041095890414,9000000,1084931.506849315,1620000.0,80.0,1900000,1800000,80000
2025-02,15200000,1569262.2409264657,1176946.6806948492,282467.20336676383,78463.1120463233,31385.244818529314,9100000,1074064.3889501372,1638000.0,80.0,1945000,1840000,85000
2025-03,15400000,1595633.8650581671,1196725.3987936254,287214.09571047005,79781.69325290836,31912.677301163345,9200000,1037651.7759110482,1656000.0,80.0,1990000,1880000,90000
2025-04,15600000,1550692.997949227,1163019.7484619203,279124.73963086086,77534.64989746135,31013.85995898454,9300000,1019688.053597895,1674000.0,80.0,2035000,1920000,80000
2025-05,15800000,1492835.729173341,1119626.7968800059,268710.4312512014,74641.78645866706,29856.714583466823,9400000,1047976.7121308605,1692000.0,80.0,2080000,1960000,85000
2025-06,16000000,1494012.1183856972,1120509.088789273,268922.1813094255,74700.60591928486,29880.242367713945,9500000,1107916.6617090446,1710000.0,80.0,2125000,2000000,90000
2025-07,16200000,1573005.309200972,1179753.981900729,283140.955656175,78650.26546004861,31460.10618401944,9600000,1155165.1219279098,1728000.0,80.0,2170000,2040000,80000
2025-08,16400000,1676573.0422958254,1257429.781721869,301783.14761324855,83828.65211479127,33531.46084591651,9700000,1156234.8047513976,1746000.0,80.0,2215000,2080000,85000
2025-09,16600000,1727251.2158572502,1295438.4118929375,310905.21885430504,86362.56079286251,34545.024317145006,9800000,1119858.0803763047,1764000.0,80.0,2260000,2120000,90000
2025-10,16800000,1694923.7838469124,1271192.8378851842,305086.2810924442,84746.18919234563,33898.47567693825,9900000,1089752.385793653,1782000.0,80.0,2305000,2160000,80000
2025-11,17000000,1626036.389670579,1219527.2922529343,292686.5501407042,81301.81948352896,32520.72779341158,10000000,1104708.4093656738,1800000.0,80.0,2350000,2200000,85000
2025-12,17200000,1602192.7038209748,1201644.5278657312,288394.6866877755,80109.63519104874,32043.854076419495,10100000,1162436.7098612564,1818000.0,80.0,2395000,2240000,90000
