period,revenue,accounts_receivable,ar_0_30,ar_31_60,ar_61_90,ar_90_plus,cogs,inventory,accounts_payable,supplier_concentration_pct,operating_cash_flow,net_income,non_core_expenses
2025-01,12000000,1578082.1917808217,710136.9863013697,394520.5479452054,284054.7945205479,189369.8630136986,7800000,1175342.4657534247,1560000.0,62.0,800000,950000,120000.0
2025-02,12150000,1706749.688667497,768037.3599003736,426687.4221668742,307214.9439601494,204809.9626400996,7920000,1272328.7671232878,1584000.0,62.0,690000,930000,128414.70984807896
2025-03,12300000,1838107.0983810711,827148.1942714821,459526.7745952678,330859.27770859277,220572.85180572854,8040000,1371706.102117061,1608000.0,62.0,580000,910000,129092.97426825682
2025-04,12450000,1972154.4209215443,887469.489414695,493038.6052303861,354987.79576587793,236658.53051058532,8160000,1473474.4707347448,1632000.0,62.0,470000,890000,121411.20008059868
2025-05,12600000,2108891.6562889167,949001.2453300125,527222.9140722292,379600.498132005,253066.99875467,8280000,1577633.8729763387,1656000.0,62.0,360000,870000,112431.97504692072
2025-06,12750000,2248318.804483188,1011743.4620174345,562079.701120797,404697.3848069738,269798.25653798255,8400000,1684184.3088418434,1680000.0,62.0,250000,850000,110410.75725336862
2025-07,12900000,2390435.865504359,1075696.1394769615,597608.9663760897,430278.45579078456,286852.30386052304,8520000,1793125.7783312576,1704000.0,62.0,140000,830000,117205.84501801075
2025-08,13050000,2535242.8393524284,1140859.2777085928,633810.7098381071,456343.7110834371,304229.1407222914,8640000,1904458.2814445829,1728000.0,62.0,30000,810000,126569.86598718789
2025-09,13200000,2682739.7260273974,1207232.876712329,670684.9315068494,482893.15068493155,321928.76712328766,8760000,2018181.8181818181,1752000.0,62.0,-80000,790000,129893.58246623381
2025-10,13350000,2832926.5255292654,1274816.9364881695,708231.6313823164,509926.7745952678,339951.18306351185,8880000,2134296.3885429637,1776000.0,62.0,-190000,770000,470000.0
2025-11,13500000,2985803.2378580323,1343611.4570361145,746450.8094645081,537444.5828144458,358296.3885429639,9000000,2252801.99252802,1800000.0,62.0,-300000,750000,470000.0
2025-12,13650000,3141369.8630136987,1413616.4383561644,785342.4657534247,565446.5753424658,376964.38356164383,9120000,2373698.6301369863,1824000.0,62.0,-410000,730000,470000.0
